,sample_size,train_score,test_score
0,3,-3856.5117416666626,-589350.50043125
1,11,-3429.9182113636343,-329942.01762916666
2,19,-5413.775586842103,-213347.95524999994
3,27,-7650.194328703705,-139697.66231041666
4,36,-9262.39782847222,-96432.275
